# Instrument: Keithley2450 Source Measure Unit
# Date: 2026-04-21_11-53-20 
# Source Mode: current
# Sweep Start: -0.009 V
# Sweep Stop: 0.009 V
# Sweep Step: 0.001 V
Voltage (V),Current (A),Resistance (Ohm)
-4.169764,-0.009,463.3071111111111
-3.706155,-0.008,463.26937499999997
-3.24272,-0.007000000000000001,463.2457142857142
-2.779428,-0.006000000000000002,463.23799999999983
-2.316157,-0.005000000000000003,463.2313999999998
-1.852979,-0.0040000000000000036,463.24474999999956
-1.389708,-0.0030000000000000044,463.2359999999993
-0.9264272,-0.0020000000000000052,463.2135999999988
-0.4632117,-0.001000000000000006,463.21169999999717
3.32569e-05,-6.938893903907228e-18,inf
0.4632959,0.0009999999999999922,463.2959000000036
0.9266614,0.0019999999999999914,463.33070000000197
1.389966,0.0029999999999999905,463.3220000000015
1.85327,0.00399999999999999,463.3175000000012
2.316615,0.004999999999999989,463.32300000000106
2.779726,0.005999999999999988,463.28766666666763
3.242841,0.006999999999999987,463.26300000000083
3.705869,0.007999999999999988,463.2336250000007
4.168789,0.008999999999999985,463.19877777777856
