# Instrument: Keithley2450 Source Measure Unit
# Date: 2026-03-25_10-13-42 
# Source Mode: voltage
# Sweep Start: 0.0 V
# Sweep Stop: 1.0 V
# Sweep Step: 0.1 V
Voltage (V),Current (A),Resistance (Ohm)
0.0,-1.629045e-08,0.0
0.1,0.0001020261,980.1413559863604
0.2,0.0002041596,979.625743780846
0.30000000000000004,0.0003062476,979.5995135961883
0.4,0.0004083603,979.5271479622285
0.5,0.0005104747,979.4804718039894
0.6,0.0006125498,979.5121963961133
0.7,0.0007146567,979.4912718232405
0.7999999999999999,0.0008167672,979.4712618234424
0.8999999999999999,0.0009188546,979.480322566813
0.9999999999999999,0.001020972,979.4587902508589
