# Instrument: Keithley2450 Source Measure Unit
# Date: 2026-03-18_10-23-55 
# Source Mode: voltage
# Sweep Start: 0 V
# Sweep Stop: 1 V
# Sweep Step: 0.1 V
Voltage (V),Current (A),Resistance (Ohm)
0.0,-1.635878e-08,0.0
0.1,0.0001020572,979.8426764598677
0.2,0.0002042196,979.3379283868934
0.30000000000000004,0.0003063361,979.3165088933365
0.4,0.0004084757,979.2504180787254
0.5,0.0005106158,979.2098090188357
0.6,0.0006127181,979.2431462364177
0.7,0.0007148521,979.223534490561
0.7999999999999999,0.0008169909,979.2030731309247
0.8999999999999999,0.0009191022,979.2164571034646
0.9999999999999999,0.001021244,979.1979194002608
