# Instrument: Keithley2450 Source Measure Unit
# Date: 2026-03-13_14-17-26 
# Source Mode: voltage
# Sweep Start: 0 V
# Sweep Stop: 1 V
# Sweep Step: 0.1 V
Voltage (V),Current (A),Resistance (Ohm)
0.0,-1.713728e-08,0.0
0.1,0.0001021207,979.2333973425565
0.2,0.0002043506,978.7101187860472
0.30000000000000004,0.0003065346,978.6823412430441
0.4,0.0004087414,978.6138619674934
0.5,0.0005109485,978.5722044393907
0.6,0.0006131185,978.6036467664896
0.7,0.0007153187,978.5847902480391
0.7999999999999999,0.0008175239,978.5646633694745
0.8999999999999999,0.0009197037,978.5760348686212
0.9999999999999999,0.001021914,978.5559254496952
