# Instrument: Keithley2450 Source Measure Unit
# Date: 2026-05-06_12-03-01 
# Source Mode: current
# Sweep Start: 0.0 V
# Sweep Stop: 0.05 V
# Sweep Step: 0.001 V
Voltage (V),Current (A),Resistance (Ohm)
1.617533e-05,0.0,inf
0.01010043,0.001,10.100430000000001
0.02018259,0.002,10.091295
0.03027406,0.003,10.091353333333332
0.04035826,0.004,10.089565
0.05044065,0.005,10.08813
0.06052302,0.006,10.087169999999999
0.070604,0.007,10.086285714285713
0.08068609,0.008,10.085761250000001
0.09077106,0.009000000000000001,10.085673333333332
0.1008535,0.01,10.08535
0.1109218,0.011,10.0838
0.1209982,0.012,10.083183333333332
0.131091,0.013000000000000001,10.083923076923076
0.1411664,0.014,10.083314285714286
0.1512405,0.015,10.0827
0.161335,0.016,10.0834375
0.17141,0.017,10.082941176470587
0.1814852,0.018000000000000002,10.08251111111111
0.1915806,0.019,10.083189473684211
0.201649,0.02,10.08245
0.2117159,0.021,10.081709523809524
0.2218124,0.022,10.082381818181819
0.2318839,0.023,10.081908695652174
0.2419617,0.024,10.0817375
0.2520519,0.025,10.082075999999999
0.2621219,0.026000000000000002,10.081611538461539
0.2721923,0.027,10.081196296296296
0.2822838,0.028,10.081564285714284
0.2923562,0.029,10.08124827586207
0.3024277,0.03,10.080923333333335
0.3125202,0.031,10.081296774193548
0.3225918,0.032,10.08099375
0.3326616,0.033,10.080654545454545
0.3427509,0.034,10.080908823529413
0.3528192,0.035,10.08054857142857
0.3628896,0.036000000000000004,10.080266666666665
0.3729814,0.037,10.08057837837838
0.3830497,0.038,10.080255263157895
0.3931162,0.039,10.079902564102564
0.4032049,0.04,10.0801225
0.4132706,0.041,10.079770731707317
0.4233368,0.042,10.079447619047619
0.4334236,0.043000000000000003,10.079618604651163
0.4434889,0.044,10.079293181818183
0.4535557,0.045,10.079015555555555
0.4636406,0.046,10.07914347826087
0.473706,0.047,10.078851063829788
0.4837687,0.048,10.078514583333334
0.4938544,0.049,10.078661224489796
0.5039162,0.05,10.078324
