# Instrument: Keithley2450 Source Measure Unit
# Date: 2026-05-05_13-17-54 
# Source Mode: current
# Sweep Start: 0.0 V
# Sweep Stop: 0.5 V
# Sweep Step: 0.01 V
Voltage (V),Current (A),Resistance (Ohm)
3.456746e-05,0.0,inf
0.1009931,0.01,10.099310000000001
0.2019213,0.02,10.096065
0.3028387,0.03,10.094623333333335
0.4037795,0.04,10.0944875
0.5046787,0.05,10.093574
0.6055836,0.06,10.093060000000001
0.706449,0.07,10.092128571428571
0.8072887,0.08,10.09110875
0.9080974,0.09,10.089971111111112
1.008796,0.1,10.087959999999999
1.109582,0.11,10.087109090909092
1.210204,0.12,10.085033333333334
1.310619,0.13,10.081684615384615
1.411093,0.14,10.079235714285712
1.511528,0.15,10.076853333333334
1.611658,0.16,10.0728625
1.711853,0.17,10.069723529411764
1.811859,0.18,10.065883333333334
1.911869,0.19,10.062468421052632
2.011707,0.2,10.058535
2.112363,0.21,10.05887142857143
2.212026,0.22,10.054663636363635
2.311298,0.23,10.049121739130433
2.410646,0.24,10.044358333333333
2.509694,0.25,10.038776
2.608465,0.26,10.032557692307691
2.707179,0.27,10.026588888888888
2.805631,0.28,10.020110714285714
2.903872,0.29,10.01335172413793
3.001975,0.3,10.006583333333333
3.099616,0.31,9.998761290322582
3.19721,0.32,9.99128125
3.294584,0.33,9.983587878787878
3.391255,0.34,9.974279411764705
3.487919,0.35000000000000003,9.965482857142856
3.584454,0.36,9.956816666666667
3.680306,0.37,9.946772972972973
3.775932,0.38,9.936663157894737
3.870966,0.39,9.925553846153846
3.965507,0.4,9.9137675
4.059953,0.41000000000000003,9.902324390243901
4.154032,0.42,9.89055238095238
4.248074,0.43,9.879241860465116
4.341511,0.44,9.867070454545454
4.434725,0.45,9.854944444444445
4.527768,0.46,9.842973913043478
4.620224,0.47000000000000003,9.830263829787235
4.712671,0.48,9.818064583333335
4.804658,0.49,9.805424489795918
4.896144,0.5,9.792288
