# Instrument: Keithley2450 Source Measure Unit
# Date: 2026-03-17_12-36-33 
# Source Mode: voltage
# Sweep Start: 0 V
# Sweep Stop: 1 V
# Sweep Step: 0.1 V
Voltage (V),Current (A),Resistance (Ohm)
0.0,-1.686757e-08,0.0
0.1,0.0001020847,979.5787223746556
0.2,0.0002042815,979.0411760242606
0.30000000000000004,0.0003064372,978.9934120269994
0.4,0.0004086118,978.9242503520456
0.5,0.0005107864,978.8827580374106
0.6,0.0006129193,978.9216949115488
0.7,0.0007150893,978.8987193627424
0.7999999999999999,0.0008172619,978.8783742396408
0.8999999999999999,0.0009194115,978.8870380672853
0.9999999999999999,0.00102159,978.8662770778883
